"Country","Pop","PopDens","Prop_UrbanPop","PressLiberty","PerCapita_HealthExp_2016","COVID19_CasesPerMillion","ConstitutionalForm","HeadOfState"
"Afghanistan",38928346,60,25,27.66756673,162.8,2.414692882,"Republic","Executive"
"Albania",2877797,105,63,29.83647335,759.7,60.4629166,"Republic","Ceremonial"
"Algeria",43851044,18,73,45.75158606,998.2,8.369242019,"Republic","Executive"
"Argentina",45195774,17,93,28.30321415,1531,11.10723317,"Republic","Executive"
"Armenia",2963243,104,63,28.74148808,876.9,97.86575046,"Republic","Ceremonial"
"Australia",25499884,3,86,16.54625447,4529.9,110.1965797,"Constitutional monarchy","Ceremonial"
"Azerbaijan",10139177,123,56,56.46565124,1193.1,12.03253479,"Republic","Executive"
"Belarus",9449323,47,79,51.65957848,1151.4,9.101181111,"Republic","Executive"
"Belgium",11589623,383,98,11.06520887,4667.9,537.9812613,"Constitutional monarchy","Ceremonial"
"Belize",397628,17,46,27.4957593,541.4,5.029826873,"Constitutional monarchy","Ceremonial"
"Bhutan",771608,20,46,29.81081434,293.1,2.591989715,"Constitutional monarchy","Executive"
"Bolivia",11673021,11,69,35.37679556,496.3,3.683707928,"Republic","Executive"
"Bosnia and Herzegovina",3280819,64,52,29.02462866,1123.4,58.21717077,"Republic","Ceremonial"
"Brazil",212559417,25,88,26.25677768,1777.5,14.04313223,"Republic","Executive"
"Bulgaria",6948445,64,76,35.11490059,1577.9,37.99411235,"Republic","Ceremonial"
"Burkina Faso",20903273,76,31,24.53273218,115.6,7.271588521,"Republic","Executive"
"Cambodia",16718965,95,24,45.89587418,228.6,5.741982234,"Constitutional monarchy","Ceremonial"
"Cameroon",26545863,56,56,43.31981156,169.3,2.825298993,"Republic","Executive"
"Canada",37742154,4,81,15.68524916,4718.3,107.121602,"Constitutional monarchy","Ceremonial"
"Chile",19116201,26,85,25.64656028,2002,68.3190138,"Republic","Executive"
"China",1439323776,153,61,78.01240098,761.5,56.82390673,"Republic","Ceremonial"
"Colombia",50882891,46,80,38.77782878,829.8,9.649608942,"Republic","Executive"
"Costa Rica",5094118,100,80,12.24322265,1248.5,45.34641718,"Republic","Executive"
"Croatia",4105267,73,58,29.03159615,1705.2,120.5768102,"Republic","Ceremonial"
"Cuba",11326616,106,78,63.81148737,2457.7,5.915270722,"Republic","Executive"
"Cyprus",1207359,131,67,21.73757895,2270.8,120.9250935,"Republic","Executive"
"Denmark",5792202,137,88,9.867898622,5093,349.2626811,"Constitutional monarchy","Ceremonial"
"Djibouti",988000,43,79,71.35735633,122.1,11.13360324,"Republic","Executive"
"Dominican Republic",10847910,225,85,27.89660446,936.8,44.98562396,"Republic","Executive"
"Ecuador",17643054,71,63,26.8717664,942.9,79.52137992,"Republic","Executive"
"Egypt",102334404,103,43,54.9004708,516.3,4.837082942,"Republic","Executive"
"El Salvador",6486205,313,73,29.81467577,599.5,2.004253643,"Republic","Executive"
"Equatorial Guinea",1402985,50,73,58.35271146,838.7,8.553191944,"Republic","Executive"
"Estonia",1326535,31,68,12.26769147,1987.7,405.5678893,"Republic","Ceremonial"
"Fiji",896445,49,59,27.18336923,313.2,5.577587024,"Republic","Ceremonial"
"Finland",5540720,18,86,7.900013541,4112.1,172.9017167,"Republic","Ceremonial"
"France",65273511,119,82,20.82677372,4782.3,452.7257619,"Republic","Executive"
"Gabon",2225734,9,87,35.59988628,555.6,3.145029909,"Republic","Executive"
"Georgia",3989167,57,58,28.97921215,797.2,19.80363319,"Republic","Ceremonial"
"Germany",83783942,240,76,10.63271529,5463.3,524.4203,"Republic","Ceremonial"
"Ghana",31072940,137,57,20.72276757,189.4,4.24806922,"Republic","Executive"
"Greece",10423054,81,85,29.08402378,2261.2,85.57952401,"Republic","Ceremonial"
