FoodExp,Residence,HholdSize,RestMeals,Gender,Age,Income
264.54,1,4,0,0,47,3053.969
352.98,1,2,0,1,68,1662.73
292.956,1,3,0,1,34,4120.759
385.86,1,3,0,1,48,1273.835
718.056,1,5,0,1,39,2029.115
321.372,1,2,0,0,49,5376.3125
521.568,1,2,0,1,52,2206.5
231.3,1,1,0,0,76,849.4
638.232,1,4,0,1,48,1623.124
729.804,1,3,0,0,45,3832.917
186.42,1,3,0,0,46,2334.952
525.708,1,3,0,1,55,599
104.16,1,2,0,1,56,482.186
354.012,1,3,0,1,54,2469.3
501.072,1,4,0,1,60,5854.056
1231.092,1,4,0,1,49,4485.694
202.092,1,2,0,1,46,1672.025
984.24,1,4,0,1,52,5387.648
272.148,1,3,0,1,35,1714.367
399.912,1,2,0,0,62,3114.363
191.364,1,2,0,0,49,1838.755
220.692,1,2,0,0,48,1565.917
319.5,1,2,0,1,49,2347.77
199.68,1,2,0,1,88,1289.032
231.3,1,1,0,0,56,843.456
367.116,1,2,0,1,67,1367.145
467.868,1,4,0,1,30,1683.474
681.168,1,3,0,1,33,3088.084
312.12,1,2,0,1,73,1289.509
451.56,1,3,2,1,58,3004.251
304.044,1,3,0,1,56,2768.981
253.176,1,2,0,1,59,1427.466
292.812,1,1,0,0,86,682.444
764.088,1,2,0,1,58,2051.126
224.136,1,3,0,1,49,2522.006
1200.864,1,4,3,1,47,2521.568
338.676,1,4,0,1,26,1486
95.424,1,1,0,0,62,578.261
893.592,1,3,2,0,49,3011.017
207.324,1,2,0,1,70,1354.468
227.628,1,1,0,0,89,708.25
256.728,1,2,0,1,47,1746.928
649.224,1,3,0,1,61,1909.48
441.12,1,4,0,1,46,2774.038
684.264,1,3,0,1,52,1409.738
848.22,1,4,0,1,33,2278.416
152.808,1,4,0,1,36,1643.925
579.408,1,4,0,0,57,1352.204
862.992,1,3,0,1,65,3226.245
392.376,1,5,3,1,51,4902.662
170.304,1,2,0,1,67,1927.234
276.12,1,1,0,1,37,1127.06
450.816,1,3,0,1,58,1992.147
181.836,1,2,0,0,63,2164.004
215.532,1,1,0,0,32,1930.988
457.644,1,2,1,1,31,2290.313
304.332,1,1,0,0,54,1453.031
470.22,1,2,0,1,77,1244.863
550.644,1,3,0,1,42,1899.728
542.292,1,4,0,1,51,2451.331
662.232,1,9,0,1,62,1088.8
714.012,1,7,0,1,48,3241.487
306.54,1,1,0,0,60,1397.8
598.128,1,6,0,1,61,3256.9
209.748,1,1,0,0,82,887
466.68,1,1,1,1,28,1709.452
299.784,1,3,0,0,48,2142.993
365.196,1,2,0,0,79,3039.265
737.832,1,3,0,1,59,3634.201
438.3,1,2,1,1,31,3426.102
136.728,1,1,0,0,39,1613.824
141.792,1,1,0,1,37,1538.598
277.416,1,2,0,0,52,1112.975
419.952,1,1,0,0,64,1544.693
242.652,1,2,0,1,93,1094.658
365.352,1,2,6,1,56,3275.011
261.744,1,1,0,1,22,1195
1495.044,1,4,10,1,45,5786.763
292.224,1,2,0,1,73,1425.402
564.924,1,4,0,1,58,4216.049
650.652,1,3,0,1,38,3021.354
231.12,1,1,2,0,59,2005.521
396.228,1,2,0,1,75,3041.796
530.28,1,2,0,1,46,2542.691
883.248,1,4,0,1,46,4014.715
229.152,1,1,0,1,50,1117.675
138.048,1,1,0,1,35,2040.275
505.44,1,2,0,1,74,3448.049
477.792,1,4,0,1,34,2936.153
156.18,1,1,0,0,64,943.076
136.668,1,1,0,0,80,770.363
154.224,1,1,0,0,81,941.465
494.292,1,1,0,0,51,2166.512
603.576,1,4,0,1,56,3183.498
981.588,1,4,8,1,65,3806.95
