Team,Goals,Assists,Yellow Cards,Red Cards,xG,xAG,Shots,Shots on Target,Avg Shot Distance,Free Kicks,Possession,TouchesAtt3rd,Passes Live,Corner Kicks,Points,Season,Country
Arsenal,62,51,64,5,54.4,41.3,494,161,15.0,10,57.0,7111,17220,232,67,2024-2025,ENG
Aston Villa,53,42,68,2,53.3,39.6,448,148,16.2,12,51.0,4955,14948,218,60,2024-2025,ENG
Bournemouth,54,39,90,2,60.5,41.6,536,179,16.7,9,47.7,5562,13698,211,53,2024-2025,ENG
Brentford,61,41,53,1,53.7,39.5,396,157,15.0,10,47.6,4863,14252,160,52,2024-2025,ENG
Brighton,55,37,75,3,52.7,37.0,473,163,17.2,24,52.3,5598,16109,170,52,2024-2025,ENG
Chelsea,59,45,96,1,65.2,50.4,563,195,16.7,16,57.7,6030,18319,215,63,2024-2025,ENG
Crystal Palace,42,32,78,4,53.6,39.9,467,151,16.9,18,43.2,4185,13100,163,46,2024-2025,ENG
Everton,33,22,77,2,36.9,28.0,366,122,17.1,10,40.9,4438,12170,142,39,2024-2025,ENG
Fulham,49,42,75,2,46.0,35.7,469,151,16.3,8,52.2,5848,16703,194,51,2024-2025,ENG
Ipswich Town,34,25,89,5,31.3,21.6,329,110,17.7,10,40.0,3597,11931,134,22,2024-2025,ENG
Leicester City,29,22,81,0,30.5,23.7,310,96,17.5,8,45.5,3825,14681,132,21,2024-2025,ENG
Liverpool,80,60,64,2,75.4,55.6,593,202,16.0,9,58.0,6765,18548,235,82,2024-2025,ENG
Manchester City,66,48,58,1,61.9,49.8,546,195,16.9,17,61.4,8869,21067,229,64,2024-2025,ENG
Manchester Utd,40,28,78,3,47.2,35.8,475,153,17.3,14,53.2,5339,17182,183,39,2024-2025,ENG
Newcastle Utd,64,48,60,1,59.5,42.8,473,146,16.1,12,51.2,5598,15762,196,63,2024-2025,ENG
Nott'ham Forest,53,39,82,2,41.1,30.5,425,151,17.7,13,40.5,4641,11473,141,61,2024-2025,ENG
Southampton,24,15,86,3,30.7,23.6,326,102,16.4,6,49.4,4549,15900,141,11,2024-2025,ENG
Tottenham,60,47,66,1,55.6,42.1,479,174,16.0,11,56.1,6005,17117,236,38,2024-2025,ENG
West Ham,37,24,74,3,43.1,31.2,438,122,16.4,14,47.9,4470,15081,139,37,2024-2025,ENG
Wolves,50,39,74,2,40.4,32.4,391,143,18.1,18,47.3,4217,14576,123,41,2024-2025,ENG
Arsenal,86,62,64,2,76.1,55.3,647,209,15.8,6,58.2,8560,20941,265,89,2023-2024,ENG
Aston Villa,72,55,94,2,63.3,48.6,511,182,16.0,15,53.1,5459,17499,231,68,2023-2024,ENG
Bournemouth,52,39,79,3,55.9,40.5,539,175,16.7,18,44.4,5686,14065,235,48,2023-2024,ENG
Brentford,54,38,89,2,58.2,42.7,470,159,15.6,17,45.2,5210,14996,184,39,2023-2024,ENG
Brighton,50,36,90,3,56.8,41.6,555,198,16.7,11,59.8,6766,23334,206,48,2023-2024,ENG
Burnley,40,30,77,7,40.6,29.7,430,137,17.7,13,47.4,5155,16189,180,24,2023-2024,ENG
Chelsea,76,51,109,4,74.5,51.4,537,194,17.3,22,58.6,6558,21587,202,63,2023-2024,ENG
Crystal Palace,56,43,73,2,48.6,38.7,452,162,17.2,20,42.3,5077,14948,178,49,2023-2024,ENG
Everton,40,17,82,1,54.0,38.1,504,152,16.7,14,40.8,5283,13704,181,42,2023-2024,ENG
Fulham,54,40,84,4,50.8,37.6,499,175,17.0,14,50.6,5568,18414,212,47,2023-2024,ENG
Liverpool,80,60,69,5,87.8,63.7,781,263,17.2,18,61.3,7869,22490,287,82,2023-2024,ENG
Luton Town,49,33,71,0,42.4,29.5,427,134,16.3,11,42.4,4964,13156,203,26,2023-2024,ENG
Manchester City,94,69,53,2,80.5,60.2,683,264,17.1,25,65.2,10260,26136,286,91,2023-2024,ENG
Manchester Utd,57,36,83,1,56.5,40.1,543,182,17.4,15,50.6,6146,17784,224,60,2023-2024,ENG
Newcastle Utd,83,55,79,1,76.0,51.3,542,196,15.7,9,52.2,6004,18026,192,60,2023-2024,ENG
Nott'ham Forest,49,43,82,3,49.9,37.9,450,143,17.2,7,40.6,4686,13975,148,32,2023-2024,ENG
Sheffield Utd,31,18,101,5,38.3,25.8,360,117,17.4,8,35.8,3830,11764,141,16,2023-2024,ENG
Tottenham,69,58,92,4,68.2,57.4,582,207,16.5,11,61.6,8010,22167,234,66,2023-2024,ENG
West Ham,58,40,82,3,52.3,34.8,445,146,16.2,17,41.1,4692,14568,165,52,2023-2024,ENG
Wolves,47,36,102,4,46.7,31.8,425,153,16.7,12,48.9,4804,17409,156,46,2023-2024,ENG
Arsenal,84,64,51,0,71.6,53.5,589,194,16.0,16,59.3,8015,20293,223,84,2022-2023,ENG
Aston Villa,49,35,80,1,50.3,38.8,427,145,18.0,18,49.3,4705,15544,162,61,2022-2023,ENG
Bournemouth,37,24,68,0,38.5,28.4,358,126,15.5,14,40.4,4256,13607,144,39,2022-2023,ENG
Brentford,56,36,57,1,56.3,38.4,400,147,15.7,14,43.8,4835,13766,163,59,2022-2023,ENG
Brighton,68,46,58,0,73.3,52.2,607,219,16.8,12,60.2,6873,21109,233,62,2022-2023,ENG
Chelsea,37,27,81,3,49.5,38.6,481,151,16.8,10,58.7,6850,20995,209,44,2022-2023,ENG
Crystal Palace,38,29,82,3,39.3,29.0,423,133,17.6,23,46.3,4991,15416,186,45,2022-2023,ENG
Everton,32,24,81,2,45.2,32.4,426,143,16.8,12,42.8,4830,13984,174,36,2022-2023,ENG
Fulham,52,33,80,1,46.2,28.5,420,137,17.3,17,48.8,5416,16136,182,52,2022-2023,ENG
Leeds United,45,31,89,3,47.3,31.8,459,141,16.6,19,47.0,5587,14953,199,31,2022-2023,ENG
Leicester City,49,36,63,2,50.5,38.4,412,142,17.7,14,47.7,4641,17049,135,34,2022-2023,ENG
Liverpool,71,58,57,1,71.5,55.6,601,203,16.2,7,60.8,7149,22466,235,67,2022-2023,ENG
Manchester City,92,69,44,1,78.6,57.5,590,205,16.6,20,64.7,8301,25047,238,89,2022-2023,ENG
Manchester Utd,56,42,78,2,67.7,52.2,590,206,17.8,20,53.7,6569,18827,196,75,2022-2023,ENG
Newcastle Utd,64,42,61,1,71.9,51.8,565,184,15.6,15,52.3,6516,16020,270,71,2022-2023,ENG
Nott'ham Forest,36,22,84,0,39.3,26.3,362,111,17.2,9,37.6,3755,11801,128,38,2022-2023,ENG
Southampton,36,25,73,0,37.8,28.1,413,132,18.1,17,44.5,4879,14585,157,25,2022-2023,ENG
Tottenham,68,46,77,3,57.0,43.0,512,186,16.7,14,50.0,5135,17950,203,60,2022-2023,ENG
West Ham,41,25,44,0,49.2,32.7,466,133,17.3,13,42.1,4993,14625,206,40,2022-2023,ENG
Wolves,28,12,85,6,36.8,25.4,409,119,18.0,18,49.9,4960,16575,185,41,2022-2023,ENG
Alavés,35,20,98,5,37.3,22.8,354,111,17.4,9,45.4,4371,11428,157,35,2024-2025,ESP
Athletic Club,50,39,61,3,48.2,33.2,423,138,17.4,7,48.4,4906,13963,174,61,2024-2025,ESP
Atlético Madrid,56,42,73,3,54.4,39.7,402,140,17.0,10,52.1,5329,17282,167,67,2024-2025,ESP
Barcelona,88,64,56,3,81.8,61.6,599,215,17.0,26,68.1,7595,21202,235,79,2024-2025,ESP
Betis,50,33,67,4,51.2,35.1,473,158,17.9,13,52.4,5433,15414,177,57,2024-2025,ESP
Celta Vigo,51,36,77,5,48.3,34.6,390,148,18.0,17,53.6,5096,17593,130,46,2024-2025,ESP
Espanyol,34,25,78,0,29.1,20.7,307,83,18.7,15,39.4,3130,10889,124,39,2024-2025,ESP
Getafe,31,18,99,6,33.8,21.2,393,113,19.4,16,42.6,4204,9795,133,39,2024-2025,ESP
Girona,40,28,71,2,38.5,28.0,366,123,17.7,11,57.1,5425,17736,174,38,2024-2025,ESP
Las Palmas,38,27,98,4,34.1,24.6,362,122,19.0,19,50.1,3995,14466,135,32,2024-2025,ESP
Leganés,32,22,77,6,29.8,18.4,282,89,19.9,16,41.9,3123,11462,99,31,2024-2025,ESP
Mallorca,30,21,72,6,36.2,25.0,350,98,16.2,7,46.3,3935,12643,135,44,2024-2025,ESP
Osasuna,40,22,82,0,38.6,24.7,349,107,17.0,8,46.3,4419,12699,148,44,2024-2025,ESP
Rayo Vallecano,33,25,87,3,39.7,31.8,444,141,19.3,21,51.7,4864,14216,171,44,2024-2025,ESP
Real Madrid,69,48,53,4,65.4,46.9,543,200,17.9,15,60.6,6919,20152,197,75,2024-2025,ESP
Real Sociedad,31,20,80,4,37.3,27.8,341,110,17.8,10,54.5,4671,14972,186,43,2024-2025,ESP
Sevilla,34,29,89,6,37.1,27.7,421,129,18.8,13,51.0,4179,14535,169,38,2024-2025,ESP
Valencia,39,25,74,1,38.5,27.3,349,105,17.2,6,47.5,4633,13828,173,42,2024-2025,ESP
Valladolid,25,14,89,5,29.9,21.3,291,83,18.2,10,42.5,3049,12094,131,16,2024-2025,ESP
