Team,Goals,Assists,Yellow Cards,Red Cards,xG,xAG,Shots,Shots on Target,Avg Shot Distance,Free Kicks,Possession,TouchesAtt3rd,Passes Live,Corner Kicks,Points,Season,Country
Arsenal,60,41,67,4,60.5,40.2,581,186,17.8,21,52.8,6491,18149,208,69,2021-2022,ENG
Aston Villa,50,42,81,2,44.0,34.8,461,159,17.6,20,46.5,5049,14615,196,45,2021-2022,ENG
Brentford,46,33,65,3,45.8,33.0,436,141,16.3,11,44.8,4566,14443,159,46,2021-2022,ENG
Brighton,40,30,72,2,46.2,32.3,482,141,17.7,15,54.4,6505,18838,200,51,2021-2022,ENG
Burnley,32,26,68,2,39.7,31.2,405,119,17.2,14,40.2,4686,12275,183,35,2021-2022,ENG
Chelsea,75,52,63,1,63.4,44.9,583,200,17.4,26,61.8,7881,23158,241,74,2021-2022,ENG
Crystal Palace,50,31,69,1,46.4,31.0,404,140,16.1,13,51.1,4943,17115,175,48,2021-2022,ENG
Everton,42,29,82,6,41.2,28.5,430,130,17.7,18,40.0,5013,12746,161,39,2021-2022,ENG
Leeds United,42,26,101,3,44.4,31.3,480,142,18.3,13,52.3,4919,16432,170,38,2021-2022,ENG
Leicester City,62,46,55,1,47.8,34.2,433,164,17.8,14,52.0,4962,18268,185,52,2021-2022,ENG
Liverpool,94,71,50,1,88.7,63.5,721,237,16.7,13,62.7,8419,23742,282,92,2021-2022,ENG
Manchester City,96,63,42,1,88.7,65.5,704,237,16.3,17,67.9,9729,26239,316,93,2021-2022,ENG
Manchester Utd,56,46,77,2,55.8,42.5,503,179,17.7,19,52.7,6331,18862,197,58,2021-2022,ENG
Newcastle Utd,41,23,81,2,38.1,25.8,446,142,18.1,15,40.4,4314,12203,160,49,2021-2022,ENG
Norwich City,21,16,57,1,32.3,24.3,370,104,19.0,18,42.9,4167,14176,165,22,2021-2022,ENG
Southampton,41,26,65,2,44.8,32.5,478,161,17.7,24,47.7,5713,15115,233,40,2021-2022,ENG
Tottenham,63,50,69,1,61.2,47.0,486,185,16.7,16,51.8,5627,18976,193,71,2021-2022,ENG
Watford,33,26,63,3,40.0,32.5,397,123,18.1,24,40.7,4328,12800,161,23,2021-2022,ENG
West Ham,58,46,52,3,51.4,37.4,443,142,16.6,13,47.9,5543,16647,200,56,2021-2022,ENG
Wolves,35,22,62,2,37.5,26.4,401,133,18.6,13,49.5,4887,17380,168,51,2021-2022,ENG
Alavés,29,20,93,4,37.3,25.5,373,111,18.2,15,42.0,4235,12142,139,31,2021-2022,ESP
Athletic Club,40,34,90,4,49.6,37.5,460,150,16.8,11,48.1,5722,15195,224,55,2021-2022,ESP
Atlético Madrid,63,45,111,7,54.4,40.2,458,152,17.5,8,50.6,5702,17082,201,71,2021-2022,ESP
Barcelona,68,52,97,5,63.4,47.6,511,177,17.1,15,64.2,7567,23093,219,73,2021-2022,ESP
Betis,60,45,87,6,53.5,37.7,509,182,18.4,21,53.7,5603,17513,174,65,2021-2022,ESP
Cádiz,35,21,105,3,39.5,24.6,405,118,17.9,14,41.3,4374,12460,181,39,2021-2022,ESP
Celta Vigo,43,29,87,3,43.1,28.8,405,135,18.3,14,55.2,5737,18578,167,46,2021-2022,ESP
Elche,39,29,104,6,33.7,27.6,334,106,18.0,8,48.4,4313,14819,155,42,2021-2022,ESP
Espanyol,39,25,99,7,36.7,25.8,403,128,19.5,24,46.9,4471,15003,172,42,2021-2022,ESP
Getafe,31,26,121,8,29.3,19.4,404,111,20.6,29,41.5,4125,12625,136,39,2021-2022,ESP
Granada,43,28,105,4,39.0,26.7,421,131,19.2,12,44.7,4287,12856,159,38,2021-2022,ESP
Levante,51,34,109,6,55.1,31.7,430,146,17.7,14,47.2,4535,14508,168,35,2021-2022,ESP
Mallorca,33,23,114,7,38.8,25.7,440,131,19.5,23,45.3,4619,13022,159,39,2021-2022,ESP
Osasuna,37,23,84,2,36.7,22.9,425,114,19.6,11,46.9,5397,14470,179,47,2021-2022,ESP
Rayo Vallecano,38,28,101,3,42.8,30.7,500,133,18.5,27,49.9,5241,14830,190,42,2021-2022,ESP
Real Madrid,80,59,76,0,71.7,50.7,645,243,18.8,21,59.9,8430,22705,218,86,2021-2022,ESP
Real Sociedad,40,22,77,4,51.5,32.9,430,143,17.1,18,54.3,5504,17333,186,62,2021-2022,ESP
Sevilla,51,40,97,4,42.4,32.5,430,139,17.0,10,59.4,5872,20265,175,70,2021-2022,ESP
Valencia,45,30,134,8,39.0,25.4,394,129,18.9,18,43.6,4822,11686,175,48,2021-2022,ESP
Villarreal,62,51,81,1,64.2,50.9,449,164,15.3,8,56.8,5950,18435,200,59,2021-2022,ESP
